Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
2,1000,1998,1.001,2000,1540813643670,0.999,2.8095,4639,4639,4639,999,999,999
3,1000,1498,2.002,3000,1540813644671,0.999,2.206,4639,4639,4639,999,999,999
4,1003,1333,3.0,4000,1540813645669,0.999,1.90425,4639,4639,4639,999,999,999
5,1000,1249,4.001,5000,1540813646670,1.0,1.7234,4639,4639,4639,1003,1003,1003
6,998,1199,5.003,6000,1540813647672,0.006,1.4371666666666667,4639,4639,4639,6,6,6
7,1002,1166,6.001,7000,1540813648670,0.921,1.3634285714285714,4639,4639,4639,923,923,923
8,999,1142,7.002,8000,1540813649671,0.0,1.193,4639,4639,4639,0,0,0
9,1000,1124,8.002,9000,1540813650671,0.0,1.0604444444444445,4639,4639,4639,0,0,0
10,1000,1110,9.002,10000,1540813651671,0.0,0.9544,1003,4639,4639,0,0,0
11,1000,1099,10.003,11000,1540813652672,0.999,0.9584545454545454,1003,4639,4639,999,999,999
12,999,1090,11.004,12000,1540813653673,0.0,0.8785833333333334,1003,4639,4639,0,0,0
13,1000,1082,12.004,13000,1540813654673,0.0,0.811,1003,4639,4639,0,0,0
14,1002,1076,13.002,14000,1540813655671,0.0,0.7530714285714286,1003,4639,4639,0,0,0
15,999,1071,14.003,15000,1540813656672,0.0,0.7028666666666666,1003,4639,4639,0,0,0
16,998,1066,15.005,16000,1540813657674,0.001,0.659,1003,4639,4639,1,1,1
17,1000,1062,16.005,17000,1540813658674,0.999,0.679,1003,4639,4639,999,999,999
18,999,1058,17.006,18000,1540813659675,0.796,0.6855,1003,4639,4639,799,799,799
19,1001,1055,18.005,19000,1540813660674,0.999,0.702,1003,4639,4639,999,999,999
20,1000,1052,19.005,20000,1540813661674,0.676,0.7007,999,1003,4639,679,679,679
21,1002,1049,20.003,21000,1540813662672,0.0,0.6673333333333333,999,1003,4639,0,0,0
22,998,1047,21.005,22000,1540813663674,0.0,0.637,999,1003,4639,0,0,0
23,1000,1045,22.005,23000,1540813664674,0.0,0.609304347826087,999,1003,4639,0,0,0
24,1001,1043,23.004,24000,1540813665673,0.0,0.5839166666666666,999,1003,4639,0,0,0
25,999,1041,24.005,25000,1540813666674,0.0,0.56056,999,1003,4639,0,0,0
26,999,1039,25.006,26000,1540813667675,0.001,0.5390384615384616,999,1003,4639,1,1,1
27,1002,1038,26.004,27000,1540813668673,1.0,0.5561111111111111,1003,1003,4639,1003,1003,1003
28,938,1034,27.07,28000,1540813669739,0.232,0.5445357142857142,1003,1003,4639,232,232,232
29,1067,1035,28.007,29000,1540813670676,0.001,0.5257931034482759,1003,1003,4639,1,1,1
30,1000,1034,29.007,30000,1540813671676,0.999,0.5415666666666666,999,1003,4639,999,999,999
31,1000,1033,30.007,31000,1540813672676,0.859,0.5518064516129032,999,1003,4639,859,859,859
32,1001,1032,31.006,32000,1540813673675,0.0,0.5345625,999,1003,4639,0,0,0
33,999,1031,32.007,33000,1540813674676,0.0,0.5183636363636364,999,1003,4639,0,0,0
34,1000,1030,33.007,34000,1540813675676,0.0,0.5031176470588236,999,1003,4639,0,0,0
35,1000,1029,34.007,35000,1540813676676,0.0,0.48874285714285715,999,1003,4639,0,0,0
36,1000,1028,35.008,36000,1540813677677,1.0,0.5029444444444444,1003,1003,4639,1003,1003,1003
37,1000,1027,36.008,37000,1540813678677,0.297,0.4973783783783784,1003,1003,4639,297,297,297
38,1000,1026,37.008,38000,1540813679677,0.0,0.48428947368421055,1003,1003,4639,0,0,0
39,999,1026,38.009,39000,1540813680678,0.0,0.47187179487179487,1003,1003,4639,0,0,0
40,1000,1025,39.009,40000,1540813681678,0.001,0.4601,999,1003,4639,1,1,1
41,1001,1024,40.008,41000,1540813682677,0.401,0.4586585365853659,999,1003,4639,401,401,401
42,1001,1024,41.007,42000,1540813683676,0.999,0.4715238095238095,999,1003,4639,999,999,999
43,1000,1023,42.007,43000,1540813684676,0.0,0.4605581395348837,999,1003,4639,0,0,0
44,999,1023,43.008,44000,1540813685677,0.0,0.4500909090909091,999,1003,4639,0,0,0
45,1000,1022,44.008,45000,1540813686677,0.718,0.4560444444444444,999,1003,4639,719,719,719
46,999,1022,45.009,46000,1540813687678,0.001,0.44615217391304346,999,1003,4639,1,1,1
47,1001,1021,46.008,47000,1540813688677,1.0,0.45793617021276595,1003,1003,4639,1003,1003,1003
48,1000,1021,47.008,48000,1540813689677,0.458,0.4579375,1003,1003,4639,459,459,459
49,1001,1020,48.007,49000,1540813690676,0.0,0.4485918367346939,1003,1003,4639,0,0,0
50,1000,1020,49.008,50000,1540813691677,1.0,0.45962,1003,1003,4639,1003,1003,1003
51,1000,1019,50.008,51000,1540813692677,0.237,0.45525490196078433,1003,1003,4639,237,237,237
52,1002,1019,51.007,52000,1540813693676,0.999,0.46571153846153845,1003,1003,4639,999,999,999
