Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
5,1000000,1260,3.966,5000,1540804665074,1.211,1.539,2847,2847,2847,1215,1215,1215
11,1000000,1103,9.967,11000,1540804671075,1.171,1.3672727272727272,1639,2847,2847,1175,1175,1175
13,1000000,1086,11.969,13000,1540804673077,0.967,1.3082307692307693,1639,2847,2847,967,967,967
14,1000000,1079,12.969,14000,1540804674077,1.044,1.2893571428571429,1639,2847,2847,1047,1047,1047
16,1000000,1068,14.969,16000,1540804676077,1.034,1.2553125,1639,2847,2847,1039,1039,1039
17,1000000,1064,15.968,17000,1540804677076,0.981,1.2391764705882353,1639,2847,2847,983,983,983
18,1000000,1060,16.969,18000,1540804678077,1.04,1.2281111111111112,1639,2847,2847,1047,1047,1047
19,1000000,1057,17.97,19000,1540804679078,0.496,1.189578947368421,1639,2847,2847,497,497,497
20,1000000,1054,18.967,20000,1540804680075,0.934,1.1768,1487,1639,2847,935,935,935
21,1000000,1050,19.999,21000,1540804681107,1.986,1.2153333333333334,1639,1991,2847,1991,1991,1991
22,1000000,1048,20.973,22000,1540804682081,0.871,1.199681818181818,1639,1991,2847,871,871,871
23,1000000,1046,21.972,23000,1540804683080,0.819,1.1831304347826086,1639,1991,2847,819,819,819
26,1000000,1041,24.975,26000,1540804686083,0.189,1.1308076923076924,1639,1991,2847,189,189,189
29,1000000,1036,27.973,29000,1540804689081,0.801,1.1104137931034483,1639,1991,2847,803,803,803
31,1000000,1034,29.978,31000,1540804691086,0.781,1.0962258064516128,1487,1991,2847,783,783,783
33,1000000,1031,31.979,33000,1540804693087,0.087,1.0627272727272727,1487,1991,2847,87,87,87
35,1000000,1030,33.974,35000,1540804695082,0.931,1.0286,1487,1991,2847,931,931,931
36,1000000,1029,34.977,36000,1540804696085,0.178,1.0049722222222222,1487,1991,2847,178,178,178
37,1000000,1028,35.977,37000,1540804697085,0.961,1.0037837837837837,1487,1991,2847,963,963,963
39,1000000,1026,37.977,39000,1540804699085,0.982,0.987897435897436,1487,1991,2847,983,983,983
42,1000000,1024,40.98,42000,1540804702088,2.39,0.9980476190476191,1487,1991,2847,2399,2399,2399
43,1000000,1024,41.978,43000,1540804703086,0.721,0.9916046511627907,1487,1991,2847,723,723,723
44,1000000,1023,42.977,44000,1540804704085,0.202,0.9736590909090909,1487,1991,2847,202,202,202
45,1000000,1023,43.978,45000,1540804705086,0.819,0.9702222222222222,1487,1991,2847,819,819,819
47,1000000,1022,45.978,47000,1540804707086,0.622,0.9421702127659575,1487,1991,2847,623,623,623
48,1000000,1021,46.98,48000,1540804708088,1.012,0.943625,1487,1991,2847,1015,1015,1015
51,1000000,1020,49.979,51000,1540804711087,0.857,0.9245294117647059,1479,1991,2847,859,859,859
