Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,338,338,2.957,1000,1540646323763,29.871,29.871,29951,29951,29951,29951,29951,29951
2,250,287,6.958,2000,1540646327764,17.589,23.73,29951,29951,29951,17663,17663,17663
3,200,250,11.955,3000,1540646332761,15.841,21.10033333333333,29951,29951,29951,15871,15871,15871
4,250,250,15.954,4000,1540646336760,14.831,19.533,29951,29951,29951,14847,14847,14847
5,333,263,18.957,5000,1540646339763,13.692,18.3648,29951,29951,29951,13695,13695,13695
6,250,261,22.955,6000,1540646343761,12.817,17.440166666666666,29951,29951,29951,12863,12863,12863
7,200,250,27.956,7000,1540646348762,12.4,16.720142857142857,29951,29951,29951,12415,12415,12415
8,250,250,31.954,8000,1540646352760,14.547,16.4485,29951,29951,29951,14591,14591,14591
9,249,250,35.961,9000,1540646356767,11.569,15.906333333333333,29951,29951,29951,11583,11583,11583
10,250,250,39.958,10000,1540646360764,11.388,15.4545,17663,29951,29951,11391,11391,11391
11,249,250,43.963,11000,1540646364769,9.951,14.954181818181818,17663,29951,29951,9983,9983,9983
12,250,250,47.962,12000,1540646368768,11.428,14.660333333333334,17663,29951,29951,11455,11455,11455
13,249,250,51.964,13000,1540646372770,10.597,14.34776923076923,17663,29951,29951,10623,10623,10623
14,249,250,55.965,14000,1540646376771,30.372,15.492357142857143,29951,30463,30463,30463,30463,30463
15,249,250,59.97,15000,1540646380776,9.751,15.1096,29951,30463,30463,9791,9791,9791
16,250,250,63.969,16000,1540646384775,11.039,14.8551875,29951,30463,30463,11071,11071,11071
17,250,250,67.966,17000,1540646388772,11.012,14.629117647058823,29951,30463,30463,11071,11071,11071
18,249,250,71.969,18000,1540646392775,9.657,14.35288888888889,29951,30463,30463,9663,9663,9663
19,250,250,75.967,19000,1540646396773,8.62,14.051157894736843,29951,30463,30463,8639,8639,8639
20,250,250,79.966,20000,1540646400772,8.104,13.7538,17663,29951,30463,8127,8127,8127
21,249,250,83.967,21000,1540646404773,14.273,13.77852380952381,17663,29951,30463,14335,14335,14335
22,249,250,87.97,22000,1540646408776,8.727,13.54890909090909,17663,29951,30463,8767,8767,8767
23,250,250,91.967,23000,1540646412773,9.87,13.38895652173913,17663,29951,30463,9919,9919,9919
24,249,250,95.969,24000,1540646416775,9.562,13.2295,17663,29951,30463,9599,9599,9599
25,249,250,99.971,25000,1540646420777,9.137,13.0658,17663,29951,30463,9151,9151,9151
26,250,250,103.972,26000,1540646424778,9.368,12.923576923076924,17663,29951,30463,9407,9407,9407
27,250,250,107.972,27000,1540646428778,7.99,12.740851851851852,17663,29951,30463,7999,7999,7999
28,250,250,111.973,28000,1540646432779,9.812,12.63625,17663,29951,30463,9855,9855,9855
29,250,250,115.97,29000,1540646436776,8.571,12.49606896551724,17663,29951,30463,8575,8575,8575
