37764,4273,1174472,32.154,37764000,1540725574822,20181.824,8238.297323111958,16777215,18350079,19267583,20185087,20185087,20185087
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
37765,1000000,1174467,32.155,37765000,1540725574823,20208.839,8238.6142976036,16777215,18350079,19267583,20316159,20316159,20316159
37766,1000000,1174461,32.156,37766000,1540725574824,20209.879,8238.931282847005,16777215,18350079,19267583,20316159,20316159,20316159
37767,1000000,1174456,32.157,37767000,1540725574825,20210.887,8239.248277994016,16777215,18350079,19267583,20316159,20316159,20316159
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
37768,500000,1174414,32.159,37768000,1540725574827,20211.989,8239.565285532726,16777215,18350079,19267583,20316159,20316159,20316159
37769,1000000,1174409,32.16,37769000,1540725574828,20213.037,8239.882304032408,16777215,18350079,19267583,20316159,20316159,20316159
37773,1000000,1174424,32.163,37773000,1540725574831,20216.918,8241.15046882694,16777215,18350079,19267583,20316159,20316159,20316159
37774,1000000,1174418,32.164,37774000,1540725574832,20217.825,8241.467530153015,16777215,18350079,19267583,20316159,20316159,20316159
37775,1000000,1174413,32.165,37775000,1540725574833,20218.729,8241.784598623428,16777215,18350079,19267583,20316159,20316159,20316159
