64444,100000,970030,66.435,64444000,1540725609103,51482.479,19882.1890872075,44564479,47972351,50855935,51642367,51642367,51642367
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
64445,1000000,970031,66.436,64445000,1540725609104,51485.265,19882.67947553728,44564479,47972351,50855935,51642367,51642367,51642367
64446,1000000,970031,66.437,64446000,1540725609105,51486.125,19883.169861992985,44564479,47972351,50855935,51642367,51642367,51642367
Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
64449,1000000,970047,66.439,64449000,1540725609107,51488.906,19884.641015873014,44564479,47972351,50855935,51642367,51642367,51642367
64450,1000000,970048,66.44,64450000,1540725609108,51489.704,19885.131396989913,44564479,47972351,50855935,51642367,51642367,51642367
64451,1000000,970048,66.441,64451000,1540725609109,51490.584,19885.62177654342,44564479,47972351,50855935,51642367,51642367,51642367
64452,1000000,970049,66.442,64452000,1540725609110,51491.516,19886.11215534041,44564479,47972351,50855935,51642367,51642367,51642367
64453,1000000,970049,66.443,64453000,1540725609111,51492.469,19886.602533706733,44564479,47972351,50855935,51642367,51642367,51642367
64454,1000000,970049,66.444,64454000,1540725609112,51493.323,19887.092910106432,44564479,47972351,50855935,51642367,51642367,51642367
64455,1000000,970050,66.445,64455000,1540725609113,51494.151,19887.58328413622,44564479,47972351,50855935,51642367,51642367,51642367
64458,1000000,970066,66.447,64458000,1540725609115,51496.844,19889.05439856961,44564479,47972351,50855935,51642367,51642367,51642367
64459,1000000,970066,66.448,64459000,1540725609116,51497.597,19889.544765199586,44564479,47972351,50855935,51642367,51642367,51642367
