Id, Throughput in this window (thousands events/second), Entire throughput for the run (thousands events/second), Total elapsed time(s),Total Events,CurrentTime,Average latency per event in this window(ms), Entire Average latency per event for the run(ms), AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
2,1025,2049,0.976,2000,1540729310864,53.072,37.047,53247,53247,53247,53247,53247,53247
3,1005,1522,1.971,3000,1540729311859,28.084,34.059333333333335,53247,53247,53247,28159,28159,28159
4,961,1328,3.011,4000,1540729312899,23.329,31.37675,53247,53247,53247,23423,23423,23423
5,1024,1254,3.987,5000,1540729313875,63.103,37.722,63231,63231,63231,63231,63231,63231
6,1016,1206,4.972,6000,1540729314860,39.846,38.076,63231,63231,63231,39935,39935,39935
7,1001,1172,5.971,7000,1540729315859,23.522,35.996857142857145,63231,63231,63231,23551,23551,23551
8,951,1139,7.022,8000,1540729316910,21.982,34.245,63231,63231,63231,22015,22015,22015
9,1038,1127,7.985,9000,1540729317873,72.087,38.449666666666666,72191,72191,72191,72191,72191,72191
10,1014,1114,8.971,10000,1540729318859,30.817,37.6864,63231,72191,72191,30847,30847,30847
11,1001,1103,9.97,11000,1540729319858,20.655,36.138090909090906,63231,72191,72191,20735,20735,20735
12,999,1093,10.971,12000,1540729320859,19.771,34.774166666666666,63231,72191,72191,19839,19839,19839
13,999,1085,11.973,13000,1540729321861,20.521,33.67776923076923,63231,72191,72191,20607,20607,20607
14,1000,1079,12.973,14000,1540729322861,20.886,32.76407142857143,63231,72191,72191,20991,20991,20991
15,1002,1073,13.971,15000,1540729323859,20.88,31.9718,63231,72191,72191,20991,20991,20991
16,999,1068,14.972,16000,1540729324860,18.201,31.111125,63231,72191,72191,18303,18303,18303
17,998,1064,15.974,17000,1540729325862,19.346,30.41905882352941,63231,72191,72191,19455,19455,19455
18,997,1060,16.978,18000,1540729326866,22.445,29.976055555555554,63231,72191,72191,22527,22527,22527
19,1007,1057,17.971,19000,1540729327859,25.609,29.74621052631579,63231,72191,72191,25727,25727,25727
20,989,1053,18.983,20000,1540729328871,18.811,29.19945,53247,63231,72191,18815,18815,18815
21,1010,1051,19.973,21000,1540729329861,29.575,29.217333333333332,53247,63231,72191,29695,29695,29695
22,994,1048,20.98,22000,1540729330868,19.216,28.762727272727272,53247,63231,72191,19327,19327,19327
23,1006,1046,21.974,23000,1540729331862,25.427,28.617695652173914,53247,63231,72191,25471,25471,25471
24,960,1042,23.015,24000,1540729332903,19.665,28.244666666666667,53247,63231,72191,19711,19711,19711
25,1038,1042,23.978,25000,1540729333866,60.712,29.54336,60927,63231,72191,60927,60927,60927
